source	inter	target	btstp	index	?
ARR12	1	ABIL4	100	1.072	2.2
ARR12	1	ARF4	80.8	1.612	1.3
ARR12	1	CLE2	100	1.555	1.2
ARR12	1	PUB4	100	0.831	1
ARR12	1	MAIL1	72.8	2.933	1.2
LHW	1	PLT2	100	1.226	0.5
LHW	1	TAA1	75.5	2.35	1.7
LHW	1	CYCA2.4	68.2	0.949	1
LHW	1	RGF8	85.3	1.117	0.2
LHW	1	MEL4	100	2.467	1
LHW	-1	LHW	40.6	0	0
LHW	1	ACR4	89.1	1.324	0.7
LHW	1	BBM	100	1.16	1.2
LHW	1	PI	100	1.142	2
LHW	1	CLV1.like3	100	1.694	0.7
PHB	1	ARF6	100	0.725	0.2
PHB	1	IPT2	43.1	2.636	0.7
PHB	-1	IAA19	99.9	1.554	0.8
PHB	-1	YUC2	100	1.729	2
PHB	1	CRF2	62.2	1.423	1.5
PHB	1	PLT3	54	1.369	0.8
PHB	1	ROW1	50.6	1.309	0.7
PHB	1	MAIN	64.6	1.406	1
COI1	-1	ARR7	13.6	1.303	3
COI1	1	MYC2	24.5	1.117	3.2
COI1	1	PIN3	64.9	0.933	0.8
COI1	1	APT2	20.7	0.895	5.7
COI1	1	ARR5	76.4	1.389	5.2
COI1	-1	EXPA20	69.8	1.386	1.8
COI1	1	CYP735A1	73.2	1.151	2.7
COI1	1	YUC5	17.6	1.252	3.2
COI1	1	CLV1.like2	71.7	1.047	0.2
ARR16	-1	BDL	28.7	3.42	1.8
ARR16	1	IPT6	3.3	2.856	0.5
ARR16	1	ARR15	17.2	3.482	1.5
ARR16	1	APT2	34.4	3.462	2.3
ARR16	1	LOG2	100	0.878	1.2
ARR16	1	ARR5	54.3	3.013	4.2
ARR16	1	ARR17	100	0.884	0.5
ARR16	-1	EXPA20	31.6	1.426	1.5
ARR8	-1	AT1G04880	65.6	2.125	2.8
ARR8	-1	AFB3	44.4	1.916	3.5
ARR8	-1	LOG4	100	1.139	0.2
ARR8	-1	MAIN	48.6	1.037	3
BOP2	-1	TAA1	71.3	3.233	1.3
BOP2	-1	PKL	6	0.893	0.2
BOP2	1	KRP2	58.5	0.917	2
BOP2	1	ARR9	50.9	1.03	1.5
BOP2	1	LBD29	98.4	1.128	2.5
BOP2	1	LOG5	100	1.203	0.2
BOP2	-1	ICR1	9.4	1.827	1
U-box	1	MYB52	77.7	0.972	1.5
U-box	-1	PIN4	100	1.368	0.5
U-box	1	WRKY43	81.6	1.109	0.5
U-box	-1	YUC8	25.9	2.448	1.5
U-box	-1	MEL1	100	1.478	1.5
U-box	1	AT5G06270	48.6	1.158	3
U-box	1	MYB56	100	1.17	2
U-box	1	MYB53	97	1.551	0.5
LBD16	1	SHY2	100	1.253	1
LBD16	-1	WAG1	48.6	1.379	3
LBD16	-1	IPT1	96.9	1.551	2.2
LBD16	1	GH3.3	100	1.321	1
LBD16	-1	ADK	100	1.304	1.8
LBD16	1	LBD18	100	1.585	1.5
LBD16	1	SLR	40.6	1.765	1.5
LBD16	1	CK.N.GT	48.6	1.301	3
LBD16	1	LBD33	18.9	2.82	2.5
LBD16	1	PUCHI	100	1.01	2
LBD16	-1	ADK1b	47.1	1.188	1.5
LBD17	1	GH3.1	100	1.264	0.5
LBD17	1	AFB2	86.5	2.636	1.2
LBD17	1	IAA29	100	1.446	1.2
LBD18	1	CYCD1.1	100	0.751	1.5
LBD18	1	GH3.3	97.6	1.344	0.5
LBD18	1	BIG.ASA1	43.4	1.407	3
LBD18	1	ARF9	100	1.001	2.5
LBD18	1	PLT5	48.6	1.253	3
LBD18	1	ARR23	27.3	0.985	1.5
LBD18	1	PLT7	100	1.107	2.5
LBD18	-1	NAP	99.8	2.109	2.5
WRKY43	1	AtMYB93	92.2	1.162	2.5
WRKY43	1	bZIP8	100	0.798	2.5
WRKY43	-1	PIN4	90.6	2.622	2
WRKY43	1	IPT3	84.4	1.093	2.5
WRKY43	1	APT4	10.5	1.186	0.5
WRKY43	1	MYB56	41.9	2.102	2
WRKY43	-1	GH3.6	62	1.038	1.5
WRKY43	1	ARR6	1	1.762	4
WRKY43	-1	HAM3	77.8	1.839	0.5
CRF5	1	ARR4	100	1.284	1.8
CRF5	1	ARR11	40.3	2.224	2.5
CRF5	1	KMD1	71.2	2.926	2.2
CRF5	1	CRF5	13.5	0	0
CRF5	1	CRF6	100	0.914	0.5
CRF5	1	IAA1	100	1.188	2.5
CRF5	1	TMO6	98.7	1.716	2.3
CPC	1	WOX14	47.3	1.213	4.5
CPC	1	LAX3	100	0.883	1
CPC	1	EXPA17	1.1	1.587	3.5
CPC	1	TAR2	100	0.753	0.5
CPC	1	JKD	74.7	1.267	1.8
CPC	1	ARR6	18.4	0.742	0.5
RGF7	-1	MGP	4	2.504	6.8
RGF7	-1	AT1G04880	64.7	1.543	2.8
RGF7	1	JAZ1	0.5	1.926	5.8
RGF7	1	PIN7	100	1.005	0.8
RGF7	-1	ARR14	100	1.678	2.2
RGF7	-1	CLF	48.6	2.175	3
RGF7	1	BOP2	86	1.441	0.8
RGF7	-1	AtWIP4	100	1.455	0.2
RGF7	1	AFB2	100	1.321	2
RGF7	1	KRP2	100	1.212	1.5
RGF7	1	AHK2	100	1.173	1.2
RGF7	-1	HDG1	56.4	2.698	2
AT3G11280	1	B3	96.2	1.893	1.5
AT3G11280	1	AtMYB93	100	1.043	1.5
AT3G11280	1	bZIP8	72.9	1.476	1.5
AT3G11280	-1	PIN4	100	1.72	1.5
AT3G11280	1	CRF6	100	1.545	2.5
AT3G11280	-1	MEL1	100	1.927	2.5
AT3G11280	-1	PIN2	2.2	2.912	0.7
AT3G11280	1	ARR6	1	1.619	4
IAA19	-1	ADK1b	55.9	2.582	1.5
PLT1	-1	SHY2	100	2.068	0.8
PLT1	1	FEZ	100	1.469	1.2
PLT1	1	PLT2	100	0.991	1
PLT1	1	EGL3	100	1.252	1.5
PLT1	1	IPT1	100	1.989	1.8
PLT1	1	TAA1	86.1	1.445	2.5
PLT1	1	PIN1	64.1	2.298	0.7
PLT1	1	TMO7	100	0.814	0.8
PLT1	1	AHP6	26.1	1.162	1.8
PLT1	1	ARR14	81.4	2.518	2.7
PLT1	1	RGF8	100	2.081	1
PLT1	1	PID2	100	0.763	0.5
PLT1	-1	IAA13	100	2.641	1.3
PLT1	1	E2FA	100	1.856	0.3
PLT1	1	ADK	100	2.278	1.8
PLT1	1	AtWIP4	100	2.651	0.8
PLT1	1	PGP19	100	1.542	0.5
PLT1	1	AFB1	100	1.297	1.8
PLT1	-1	APT3	72.1	2.967	2.2
PLT1	-1	WOX13	89.3	1.92	0.5
PLT1	1	CYCB1.1	89.5	3.108	1.3
PLT1	1	BRI1	100	1.216	1.5
PLT1	1	DPA	100	2.271	1
PLT1	-1	CK.N.GT	100	3.116	0.7
PLT1	1	LOG8	100	2.56	0.8
PLT1	1	WER	100	1.2	1.5
PLT1	1	BBM	100	1.448	1
PLT1	1	PI	100	1.544	1.7
PLT1	1	CLV1.like3	100	0.859	0.8
PLT1	1	CRF3	100	2.959	2
PLT1	1	PES	100	3.226	0.3
PLT1	1	HAM2	86.8	1.937	1.7
AtWIP4	1	CUC3	46.5	1.393	2
AtWIP4	-1	GH3.3	96.9	0.935	1.2
AtWIP4	1	CLF	100	1.017	2.5
AtWIP4	-1	IAA13	100	1.167	1.8
AtWIP4	1	PID	100	0.889	0.2
AtWIP4	1	LOG3	32	0.855	0.2
AtWIP4	-1	BIG.ASA1	48.6	1.379	3
AtWIP4	-1	REV	75.6	1.075	2.2
IAA2	-1	GH3.17	68.3	1.689	0.8
IAA2	-1	PHV	100	0.899	0.8
IAA2	-1	LBD4	100	1.811	1.2
IAA2	-1	E2FC	100	1.269	0.7
IAA2	-1	EXPA4	86.6	1.748	0.2
IAA2	-1	CKX1	100	1.741	2
IAA2	-1	TMO5	20.8	1.575	2.3
IAA2	-1	ARF18	100	1.028	0.8
IAA2	-1	ARF16	100	1.242	0.5
IAA2	-1	ANT	74.2	1.577	2.2
IAA2	-1	AT5G06270	69.9	1.675	1.2
IAA2	-1	CLV1.like1	100	1.028	0.5
IAA2	-1	HDG12	68.1	2.264	2.8
TMO5	-1	AHK3	100	1.69	2.2
TMO5	1	ARF6	100	1.476	2.5
TMO5	1	CRF10	100	1.593	1.3
TMO5	1	PHB	100	1.284	1.8
TMO5	1	TMO5	8.4	0	0
TMO5	1	CRF11	100	1.239	0.5
TMO5	1	CKX6	100	2.207	0.7
TMO5	1	CYCD3.1	100	1.405	2.2
TMO5	1	ANT	100	1.035	0.7
TMO5	-1	LBD33	54.4	2.261	2.5
TMO5	1	CKX3	23.5	2.539	1
TMO5	-1	CLV1.like2	48.6	1.555	3
TMO5	-1	MAIL1	89.4	2.938	1
CRF11	1	CUC3	79.2	2.457	2.5
CRF11	1	CYCD2.1	52	1.701	1
CRF11	1	PKL	22.6	1.358	1
CRF11	1	IPT2	100	1.632	1
CRF11	1	PHB	100	0.848	0.8
CRF11	1	CKX1	48.6	1.568	1.5
CRF11	1	CRF2	26.3	1.122	2
CRF11	1	DPA	100	1.893	2.2
CRF11	1	LRP1	32.2	1.012	2.2
CRF11	1	IPT9	100	1.115	1.8
CRF11	1	CKX3	19.6	1.709	0.5
CRF11	1	ROW1	83.8	0.93	1
CRF11	1	PES	31.6	1.268	2.5
RGF4	1	GL2	42.7	2.516	1
RGF4	1	AHK5	100	2.314	1
RGF4	1	KAN1	73.3	2.125	1
RGF4	1	PIN2	59.5	1.626	2
ARR5	-1	AT1G04880	66.8	1.783	0.8
ARR5	-1	GH3.17	14.4	1.478	2
ARR5	-1	E2FC	100	1.013	2.5
ARR5	-1	AXR4	100	1.029	0.8
ARR5	1	ARR15	15.8	1.396	3
ARR5	-1	CDKB2.1	100	0.724	0.5
ARR5	-1	LOG3	47.1	2.042	0.7
ARR5	-1	RBR1	72.9	1.158	2.8
ARR5	-1	ARR5	0.3	0	0
ETO1	-1	CDKB2.1	100	1.996	0.2
ETO1	-1	ABI8	17.3	2.97	0.2
SCR	-1	ARR4	100	1.258	2.5
SCR	-1	WRI3	100	1.09	1.5
SCR	-1	MYB52	100	1.437	2.5
SCR	-1	WKRY56	100	1.835	2.2
SCR	-1	U.box	100	1.212	0.5
SCR	-1	WRKY43	84.2	1.684	2.5
SCR	-1	GCN5	94.9	1.339	2.5
SCR	1	SHP1	17.9	1.87	2.2
SCR	-1	MYB53	95.6	2.13	2.5
GCN5	1	BDL	32.8	2.276	0.8
GCN5	1	MYB52	100	0.96	0.5
GCN5	1	WKRY56	99.6	1.002	0.2
GCN5	1	U.box	100	1.293	1.2
GCN5	1	WRKY43	100	0.847	0.5
